,Lat,Lon
0,44.955611,3.090366
1,38.807526,-77.065916
2,41.794548,140.754683
3,48.202655,15.628705
4,52.970352,0.606651
5,30.392542,-88.884919
6,46.560911,9.9047
7,52.968621,0.609397
8,52.968388,0.605106
9,52.968621,0.609397
10,48.217076,16.39572
11,52.968621,0.609397
12,52.968621,0.609397
13,40.788341,-74.042188
14,40.788341,-74.042188
15,40.788341,-74.042188
16,46.647747,11.711763
17,38.737414,-9.152984
18,51.110865,-1.315526
19,51.5076,-0.12764
20,40.788341,-74.042188
21,40.788341,-74.042188
22,39.263444,-76.580026
23,51.869558,-10.386664
24,60.580896,7.466926
25,29.754009,-95.094917
26,37.05819,-5.604743
27,52.151543,-10.478482
28,48.198157,16.375925
29,41.177436,-75.884318
30,47.507258,19.043383
31,42.64102,18.10905
32,5.159841,-60.78
33,40.14018,44.818317
34,48.197936,16.3754
35,53.677289,-2.978453
36,64.260038,-21.117775
37,60.401111,5.363333
38,60.415833,5.346666
39,60.413982,5.338566
40,60.404494,5.345862
41,51.778833,-2.614488
42,52.15106,-10.476651
43,60.735921,7.122069
44,44.09395,-70.22198
45,60.398333,5.372222
46,51.885655,-10.423328
47,55.381886,-7.37417
48,55.382038,-7.37412
49,55.382516,-7.3701
50,55.382538,-7.370145
51,55.380172,-7.38522
52,55.379911,-7.386103
53,55.379425,-7.388331
54,55.379455,-7.388584
55,55.379452,-7.388559
56,55.37923,-7.390673
57,55.378622,-7.390009
58,55.378558,-7.390001
59,55.378602,-7.390078
60,37.108997,25.373611
61,33.994309,7.842228
62,33.994309,7.842228
63,53.750109,-1.453628
64,60.382132,5.375618
65,48.216862,16.394368
66,60.381944,5.375555
67,48.216969,16.395699
68,48.216726,16.397619
69,48.892569,2.334133
70,41.288726,-99.386623
71,36.145916,-86.773606
72,48.226512,16.406234
73,46.332439,13.562182
74,51.774638,-10.541381
75,52.450625,0.026296
76,51.778886,-2.612428
77,33.100333,10.313666
78,51.190963,6.0045
79,45.965387,9.202283
80,51.173208,-1.85611
81,40.904507,-74.407686
